localizacao;latitude;longitude
Feira de Santana,BA,Brasil;-12.2578934;-38.9598047 
Salvador,BA,Brasil;-12.9822499;-38.4812772 
Porto Seguro,BA,Brasil;-16.443473;-39.064251 
Prado,BA,Brasil;-17.336357;-39.222721 
Itabuna,BA,Brasil;-14.7869879;-39.2788778 
Lauro de Freitas,BA,Brasil;-12.89242;-38.3127691 
Camaçari,BA,Brasil;-12.6998188;-38.3260762 
Barreiras,BA,Brasil;-12.1440031;-44.9967406 
Conceição do Jacuípe,BA,Brasil;-12.326831;-38.768433 
Brumado,BA,Brasil;-14.29507325;-41.659307508575985 
Jequié,BA,Brasil;-13.8604033;-40.0719627 
Juazeiro,BA,Brasil;-9.4336959;-40.5068201 
Conde,BA,Brasil;-11.8129758;-37.6138705 
Teixeira de Freitas,BA,Brasil;-17.5376644;-39.7458096 
Canarana,BA,Brasil;-11.6870151;-41.7683675 
Ilhéus,BA,Brasil;-14.792599;-39.0453843 
São Domingos,BA,Brasil;-11.4636112;-39.526527 
Alagoinhas,BA,Brasil;-12.133526;-38.420772 
Ipiaú,BA,Brasil;-14.1318211;-39.7373177 
Itagibá,BA,Brasil;-14.2891521;-39.8452592 
Itamaraju,BA,Brasil;-17.0363103;-39.527994 
Itororó,BA,Brasil;-15.1155552;-40.0638651 
Pojuca,BA,Brasil;-12.4260268;-38.3266573 
Dias d'Ávila,BA,Brasil;-12.6107233;-38.3028518 
Nova Soure,BA,Brasil;-11.2409332;-38.4774123 
Barra,BA,Brasil;-11.0892702;-43.1420453 
Candeias,BA,Brasil;-12.6693806;-38.5406462 
Catu,BA,Brasil;-12.351274;-38.379108 
Coaraci,BA,Brasil;-14.6407979;-39.5496765 
Itajuípe,BA,Brasil;-14.6744381;-39.3759427 
Medeiros Neto,BA,Brasil;-17.3714581;-40.2224736 
Barra do Rocha,BA,Brasil;-14.2090974;-39.6004395 
Vitória da Conquista,BA,Brasil;-14.8567487;-40.8414804 
Belmonte,BA,Brasil;-15.8630837;-38.8792845 
Santa Cruz Cabrália,BA,Brasil;-16.2815556;-39.0239196 
Utinga,BA,Brasil;-12.0781018;-41.090787 
Adustina,BA,Brasil;-10.5358875;-38.114479 
Cachoeira,BA,Brasil;-12.5998256;-38.9665918 
Gandu,BA,Brasil;-13.7448138;-39.4844732 
Itapetinga,BA,Brasil;-15.2454478;-40.2460053 
Simões Filho,BA,Brasil;-12.7867839;-38.4030365 
Uruçuca,BA,Brasil;-14.5913092;-39.2862094 
Ibirataia,BA,Brasil;-14.0689024;-39.6394008 
Itarantim,BA,Brasil;-15.6520917;-40.0599067 
Ouriçangas,BA,Brasil;-12.0105291;-38.6259109 
Palmeiras,BA,Brasil;-12.5151234;-41.5746054 
Piripá,BA,Brasil;-14.9419863;-41.7149815 
Santa Maria da Vitória,BA,Brasil;-13.3901477;-44.2013167 
Barra do Choça,BA,Brasil;-14.8638173;-40.5761637 
Campo Formoso,BA,Brasil;-10.51055;-40.320031 
Ibotirama,BA,Brasil;-12.1829519;-43.2181138 
São Francisco do Conde,BA,Brasil;-12.628108;-38.6811326 
Araci,BA,Brasil;-11.3356065;-38.9573261 
Aurelino Leal,BA,Brasil;-14.3167137;-39.3256107 
Conceição do Coité,BA,Brasil;-11.5629384;-39.2839543 
Euclides da Cunha,BA,Brasil;-10.5060835;-39.0129875 
Gongogi,BA,Brasil;-14.3240248;-39.4665106 
Itagi,BA,Brasil;-14.1627902;-40.0069366 
Itatim,BA,Brasil;-12.7073174;-39.6974476 
Serrinha,BA,Brasil;-11.66199;-39.0034021 
Itapebi,BA,Brasil;-15.9691891;-39.5320541 
Ituberá,BA,Brasil;-13.7360764;-39.1481058 
Santa Luzia,BA,Brasil;-15.4307844;-39.3303259 
Ubatã,BA,Brasil;-14.212002;-39.5245924 
Camacan,BA,Brasil;-15.4166631;-39.4930088 
Cansanção,BA,Brasil;-10.6671448;-39.498199 
Jaguaquara,BA,Brasil;-13.5294974;-39.9693081 
Rio do Pires,BA,Brasil;-13.1252598;-42.2901946 
Capim Grosso,BA,Brasil;-11.3793228;-40.0112095 
Luís Eduardo Magalhães,BA,Brasil;-12.0869117;-45.7834163 
Vera Cruz,BA,Brasil;-12.9608153;-38.6099216 
Serra do Ramalho,BA,Brasil;-13.5442363;-43.5773151 
Abaíra,BA,Brasil;-13.2503296;-41.6640342 
Canavieiras,BA,Brasil;-15.6790128;-38.9449622 
Itapé,BA,Brasil;-14.8970856;-39.4246637 
Floresta Azul,BA,Brasil;-14.8602238;-39.6561384 
Santa Teresinha,BA,Brasil;-7.0849073;-37.4433667 
Una,BA,Brasil;-15.2921699;-39.0744599 
Eunápolis,BA,Brasil;-16.3722412;-39.575704 
Irecê,BA,Brasil;-11.3034965;-41.8557929 
Paramirim,BA,Brasil;-13.4437218;-42.2419768 
Taperoá,BA,Brasil;-13.537334;-39.0986475 
Valente,BA,Brasil;-11.4127335;-39.4627304 
Aiquara,BA,Brasil;-14.126918;-39.8887574 
Amélia Rodrigues,BA,Brasil;-12.4015388;-38.7516971 
Buerarema,BA,Brasil;-14.9571177;-39.3008035 
Curaçá,BA,Brasil;-8.9925655;-39.9053169 
Valença,BA,Brasil;-13.3723582;-39.0694243 
Castro Alves,BA,Brasil;-12.7616941;-39.4281088 
Coração de Maria,BA,Brasil;-12.2484345;-38.7499274 
Guanambi,BA,Brasil;-14.223066;-42.779943 
Mirante,BA,Brasil;-14.2401367;-40.7661915 
Barro Preto,BA,Brasil;-14.8068289;-39.4727588 
Ribeira do Pombal,BA,Brasil;-10.837299;-38.538152 
Ipirá,BA,Brasil;-12.1578337;-39.7416605 
Itabela,BA,Brasil;-16.5743392;-39.561961 
Itaberaba,BA,Brasil;-12.524182;-40.305897 
Itamari,BA,Brasil;-13.778192;-39.682959 
Morpará,BA,Brasil;-11.5628341;-43.2768414 
Mucugê,BA,Brasil;-13.0053;-41.370271 
Cravolândia,BA,Brasil;-13.3576247;-39.8153954 
Paulo Afonso,BA,Brasil;-9.3991006;-38.226711 
Acajutiba,BA,Brasil;-11.6609659;-38.0186381 
Ibicaraí,BA,Brasil;-14.8625311;-39.5890865 
Rio Real,BA,Brasil;-11.4869788;-37.9317491 
Serra Preta,BA,Brasil;-12.1589615;-39.3320929 
Almadina,BA,Brasil;-14.70466;-39.6381994 
Campo Alegre de Lourdes,BA,Brasil;-9.5160326;-43.0101338 
Licínio de Almeida,BA,Brasil;-14.684215;-42.509527 
São José da Vitória,BA,Brasil;-15.0790716;-39.3365369 
Água Fria,BA,Brasil;-11.8784691;-38.7663706 
Cruz das Almas,BA,Brasil;-12.6722649;-39.1053665 
Maragogipe,BA,Brasil;-12.7766206;-38.9174729 
Sátiro Dias,BA,Brasil;-11.6033746;-38.581456 
Caldeirão Grande,BA,Brasil;-11.0208483;-40.3041387 
Itacaré,BA,Brasil;-14.2781298;-38.9951418 
Laje,BA,Brasil;-13.1809956;-39.4222968 
Livramento de Nossa Senhora,BA,Brasil;-13.6505468;-41.8412103 
Nilo Peçanha,BA,Brasil;-13.6015675;-39.1043356 
Oliveira dos Brejinhos,BA,Brasil;-12.3193308;-42.8914271 
Caetanos,BA,Brasil;-14.3387456;-40.9085971 
Camamu,BA,Brasil;-13.9438142;-39.1060917 
Itaparica,BA,Brasil;-12.8936023;-38.6798141 
Lajedo do Tabocal,BA,Brasil;-13.49316205;-40.281038132391984 
Ubaitaba,BA,Brasil;-14.3117771;-39.3226605 
Santaluz,BA,Brasil;-11.2505314;-39.3746617 
Aracatu,BA,Brasil;-14.4274236;-41.4604105 
Dário Meira,BA,Brasil;-14.4332181;-39.9028712 
Jaguarari,BA,Brasil;-10.2596039;-40.1965284 
Mata de São João,BA,Brasil;-12.530685;-38.300898 
Santa Bárbara,BA,Brasil;-11.9543757;-38.9736385 
Seabra,BA,Brasil;-12.4172071;-41.772051 
São Felipe,BA,Brasil;-12.8413439;-39.0942048 
Arataca,BA,Brasil;-15.2617424;-39.4122943 
Maracás,BA,Brasil;-13.4408898;-40.433052 
Maraú,BA,Brasil;-14.103022;-39.0144322 
Santo Amaro,BA,Brasil;-12.5519686;-38.7060448 
Guaratinga,BA,Brasil;-16.5802498;-39.7808088 
Jussari,BA,Brasil;-15.1882453;-39.493597 
Várzea Nova,BA,Brasil;-11.2527934;-40.9456569 
Governador Mangabeira,BA,Brasil;-12.6038648;-39.0372154 
Ibirapitanga,BA,Brasil;-14.1615686;-39.369522 
Nordestina,BA,Brasil;-10.8258183;-39.4297655 
Pau Brasil,BA,Brasil;-15.4646625;-39.6505806 
Rafael Jambeiro,BA,Brasil;-12.3988144;-39.5020289 
Santo Antônio de Jesus,BA,Brasil;-12.9689361;-39.260914 
Saubara,BA,Brasil;-12.7372926;-38.7662996 
São Gonçalo dos Campos,BA,Brasil;-12.4339991;-38.9488082 
Jussiape,BA,Brasil;-13.522549;-41.6711397 
Nazaré,BA,Brasil;-13.0345586;-39.0062515 
Pilão Arcado,BA,Brasil;-10.0004334;-42.4793189 
Retirolândia,BA,Brasil;-11.4935873;-39.4245887 
Remanso,BA,Brasil;-9.6179416;-42.0830557 
Madre de Deus,BA,Brasil;-12.7424741;-38.6152913 
São Sebastião do Passé,BA,Brasil;-12.5177926;-38.4921566 
Jacobina,BA,Brasil;-11.1851561;-40.5112434 
Jitaúna,BA,Brasil;-14.017019;-39.8889976 
Tucano,BA,Brasil;-10.963517;-38.785957 
Boa Vista do Tupim,BA,Brasil;-12.6605988;-40.6083594 
Nova Viçosa,BA,Brasil;-17.8907712;-39.3725471 
Serrolândia,BA,Brasil;-11.4200011;-40.2974938 
Santanópolis,BA,Brasil;-12.0243828;-38.8650365 
Itapitanga,BA,Brasil;-14.4213865;-39.5664662 
Potiraguá,BA,Brasil;-15.5935151;-39.871412 
Santo Estêvão,BA,Brasil;-12.4340621;-39.2556115 
Umburanas,BA,Brasil;-10.7290788;-41.3221813 
Amargosa,BA,Brasil;-13.0302189;-39.6040692 
Anguera,BA,Brasil;-12.1509425;-39.2452469 
Barrocas,BA,Brasil;-11.5338665;-39.0802106 
Capela do Alto Alegre,BA,Brasil;-11.6703944;-39.8362745 
Dom Basílio,BA,Brasil;-13.7589818;-41.7715676 
Itapicuru,BA,Brasil;-11.3094471;-38.2184391 
Manoel Vitorino,BA,Brasil;-14.1448395;-40.2439696 
Presidente Dutra,BA,Brasil;-11.2959181;-41.9871566 
Presidente Tancredo Neves,BA,Brasil;-13.4556558;-39.4212197 
Irará,BA,Brasil;-12.0420271;-38.7635638 
Cairu,BA,Brasil;-13.4860505;-39.0455744 
Encruzilhada,BA,Brasil;-15.5322113;-40.9072488 
Entre Rios,BA,Brasil;-11.9423743;-38.0836985 
Lafaiete Coutinho,BA,Brasil;-13.6557671;-40.2121188 
Quixabeira,BA,Brasil;-11.4123294;-40.1264724 
Rodelas,BA,Brasil;-8.8485589;-38.7663939 
Senhor do Bonfim,BA,Brasil;-10.4602509;-40.189151 
Boquira,BA,Brasil;-12.8184859;-42.7270883 
Morro do Chapéu,BA,Brasil;-11.5500293;-41.1570248 
Ruy Barbosa,BA,Brasil;-12.2856669;-40.4958361 
Anagé,BA,Brasil;-14.6134669;-41.1376308 
Araças,BA,Brasil;-12.2139176;-38.2026159 
Conceição da Feira,BA,Brasil;-12.5013001;-39.0002166 
Mucuri,BA,Brasil;-18.0787487;-39.5470583 
Mundo Novo,BA,Brasil;-11.8573859;-40.4731656 
Muritiba,BA,Brasil;-12.624266;-38.9885844 
Queimadas,BA,Brasil;-10.9807081;-39.6249588 
Sobradinho,BA,Brasil;-9.469775;-40.7957473 
São Desidério,BA,Brasil;-12.357196;-44.976881 
Teofilândia,BA,Brasil;-11.4891658;-38.9997411 
Vereda,BA,Brasil;-17.2247466;-40.0856161 
Várzea da Roça,BA,Brasil;-11.606293;-40.134634 
Abaré,BA,Brasil;-8.7239913;-39.1139689 
Banzaê,BA,Brasil;-10.5827616;-38.6122305 
Bom Jesus da Lapa,BA,Brasil;-13.250571;-43.410754 
Cabaceiras do Paraguaçu,BA,Brasil;-12.5377868;-39.1901339 
Conceição do Almeida,BA,Brasil;-12.7772763;-39.1692214 
Cristópolis,BA,Brasil;-12.2349301;-44.4160811 
Iaçu,BA,Brasil;-12.7672074;-40.2106427 
Ibitiara,BA,Brasil;-12.6493766;-42.2172476 
Igrapiúna,BA,Brasil;-13.8219097;-39.1423431 
Inhambupe,BA,Brasil;-11.7921718;-38.3596957 
Ipecaetá,BA,Brasil;-12.3158261;-39.306421 
Miguel Calmon,BA,Brasil;-11.4309436;-40.5976501 
Mirangaba,BA,Brasil;-10.9540277;-40.5764152 
Nova Ibiá,BA,Brasil;-13.8102566;-39.624783 
Piatã,BA,Brasil;-13.1535638;-41.7743761 
Ponto Novo,BA,Brasil;-10.8642828;-40.1328306 
Presidente Jânio Quadros,BA,Brasil;-14.685696;-41.6770097 
Saúde,BA,Brasil;-10.9414907;-40.4205842 
Sento Sé,BA,Brasil;-9.7406436;-41.8830056 
Monte Santo,BA,Brasil;-10.4382898;-39.3304065 
Cardeal da Silva,BA,Brasil;-11.9428154;-37.9494462 
Caém,BA,Brasil;-11.0909658;-40.4322187 
Itiúba,BA,Brasil;-10.6917496;-39.8532886 
Mutuípe,BA,Brasil;-13.2282298;-39.5060149 
Piritiba,BA,Brasil;-11.7320314;-40.5561536 
Urandi,BA,Brasil;-14.7680766;-42.6573988 
Caetité,BA,Brasil;-14.0691776;-42.4852428 
Cocos,BA,Brasil;-14.1811222;-44.5382117 
Riachão do Jacuípe,BA,Brasil;-11.8071084;-39.3816843 
Wenceslau Guimarães,BA,Brasil;-13.6866356;-39.479122 
Apuarema,BA,Brasil;-13.8517897;-39.7457126 
Itanagra,BA,Brasil;-12.2589718;-38.0388625 
Itaeté,BA,Brasil;-12.9794728;-40.9661685 
Jaguaripe,BA,Brasil;-13.1147557;-38.8944977 
Lapão,BA,Brasil;-11.3827148;-41.833808 
Varzedo,BA,Brasil;-12.9755592;-39.3943596 
Xique-Xique,BA,Brasil;-10.8217193;-42.7265689 
Aporá,BA,Brasil;-11.6599747;-38.0794757 
Barra do Mendes,BA,Brasil;-11.8053298;-42.057037 
Condeúba,BA,Brasil;-14.902227;-41.971829 
Cândido Sales,BA,Brasil;-15.5037649;-41.2391141 
Esplanada,BA,Brasil;-11.800614;-37.9453 
Ibirapuã,BA,Brasil;-17.6873491;-40.109661 
Itanhém,BA,Brasil;-17.1665806;-40.3291027 
